Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  JahControl::createCol5(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::createJahUI(QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::raiseModule(Module)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::buildMenuBar(JahHeader*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::configSystem()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::restoreColor()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::restoreStyle()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::saveModulesUI()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::stopVideoHead()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::createEditMenu(QPopupMenu*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::createFileMenu(QPopupMenu*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::createHelpMenu(QPopupMenu*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateTextModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::addProgressSteps(int)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::restoreModulesUI()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateColorModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreateKeyerModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreatePaintModule()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::buildModeSelector(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::initializePlugins()
  0.00      0.00     0.00        1     0.00     0.00  JahControl::CreatePlayerModule(QFrame*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::buildDropDownMenus(QMenuBar*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::createJahDesktopUI(QFrame*, QFrame*)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::selectMenuDropdown(Module)
  0.00      0.00     0.00        1     0.00     0.00  JahControl::updateDesktopLabel(QString)
